Species,Foraged
Otoba_novogranatensis,0
Hernandia_didymantha,0
Miconia_sp,0
Pouteria_glomerulata,0
Psychotria_chiapensis,0
Hampea_appendiculata,0
Cymbopetalum_torulosum,0
Perebea_angustifolia,0
Castilla_elastica,0
Trema_integerrima,0
Ocotea_hartshorniana,0
Celtis_schippii,0
Coussarea_hondensis,0
Goethalsia_meiantha,0
Erythrina_cochleata,0
Dussia_macroprophyllata,0
Cordia_bicolor,0
Sloanea_laevigata,0
Trophis_racemosa,0
Goethalsia_meiantha,1
